"","G45068","G45227","G45123","G45117","G45099","G45071","G45226","G45250","G45108","G45057","G45075","G45092"
"536",62,26,32,6,11,23,20,32,39,1,45,1
"537",11,5,3,0,12,4,17,9,4,5,24,5
"2496266",13,9,10,8,7,6,12,5,35,3,18,9
"168471",53,19,31,4,10,8,14,23,45,11,22,13
"2739061",21,8,4,2,4,10,4,4,28,11,2,0
"1906741",15,35,21,2,11,2,2,13,25,11,26,8
"519081",56,28,40,2,10,20,13,28,54,5,9,6
"1590041",32,19,14,2,10,4,3,23,32,1,35,12
"1537400",21,10,14,1,20,3,5,19,25,1,22,8
"332411",33,11,14,1,15,2,6,6,23,2,17,2
"1192162",35,16,16,3,16,10,7,10,39,6,35,15
"2739434",17,32,14,4,10,11,39,20,29,1,10,21
"1737446",14,6,17,3,5,6,6,6,29,1,14,7
"748280",31,18,19,2,6,12,1,12,50,1,7,56
"57480",95,64,20,3,20,25,13,39,31,1,34,25
"1938604",41,17,5,4,25,3,25,9,24,1,14,6
"261292",6,13,6,2,21,4,36,7,10,18,1,1
"153948",0,6,0,0,8,5,4,9,2,10,12,2
"44574",6,21,15,2,17,23,46,32,24,13,19,7
"1444684",8,2,6,6,7,7,7,15,25,3,16,3
"915",9,18,18,2,6,15,15,25,29,3,3,6
"916",8,14,6,4,18,7,14,13,14,2,18,1
"44577",23,7,39,6,14,5,14,7,13,5,9,21
"1231",28,19,17,2,4,3,77,8,15,6,7,13
"1288494",29,25,17,2,18,4,48,11,11,3,16,17
"35799",8,11,18,5,9,26,20,9,12,2,23,9
"1581557",6,18,18,8,10,4,63,7,12,12,4,23
"1581680",9,6,16,4,4,3,9,3,7,5,6,1
"2588535",0,7,8,2,3,3,2,3,8,3,3,1
"2588536",6,10,13,2,9,0,2,25,15,2,2,8
"1662285",19,10,14,9,5,21,7,9,13,15,11,8
"2588534",27,12,7,2,18,7,22,6,1,3,4,2
"887061",18,13,29,8,3,4,47,10,11,10,2,4
"1055487",5,2,1,3,2,4,125,0,3,2,3,1
"359408",12,15,25,0,2,1,3,15,3,2,4,5
"405",19,3,5,4,6,1,4,12,31,1,20,2
"1981880",41,45,134,8,90,88,35,73,87,37,31,21
"311182",15,33,16,3,46,8,9,10,31,2,20,10
"748811",53,24,9,1,7,10,29,14,41,5,12,11
"157592",24,8,16,4,16,1,8,9,32,2,15,6
"1985873",20,20,15,5,8,12,4,3,28,8,9,2
"2675298",9,14,7,2,3,9,9,6,2,4,1,5
"171865",46,26,16,4,38,23,36,24,60,2,11,3
"649841",17,35,59,5,15,15,16,28,25,5,13,18
"2715678",21,14,29,3,10,12,18,4,44,1,10,5
"370405",17,8,9,1,19,14,42,17,50,4,16,7
"2559597",12,7,5,2,6,11,6,4,16,4,10,12
"1188319",9,15,10,1,9,18,7,9,14,2,7,5
"36861",52,22,45,2,3,6,5,30,40,3,9,6
"1914471",66,20,15,4,21,8,3,15,20,2,19,16
"41977",78,69,43,7,33,39,23,58,76,7,29,22
"2027405",73,22,30,5,16,4,17,7,49,5,41,21
"2067960",18,19,24,5,7,26,3,12,16,1,24,5
"418699",18,5,23,1,13,13,6,10,43,1,21,6
"2184083",12,14,11,4,10,36,8,8,21,4,17,5
"1134435",62,10,9,6,8,12,3,10,54,3,19,7
"2005884",66,25,28,2,9,10,20,18,55,2,21,16
"96773",34,8,23,0,11,8,4,5,17,2,11,7
"259537",41,26,16,1,21,6,11,18,36,8,21,9
"2231055",26,12,18,2,6,18,8,9,56,6,27,10
"1735038",30,19,11,8,22,3,9,13,27,4,11,2
"2591109",33,10,16,5,7,15,10,5,28,30,5,7
"327160",28,21,13,2,10,15,18,6,48,4,9,4
"1576550",10,2,3,0,7,5,18,23,1,3,9,2
"2028343",30,23,22,15,13,8,59,27,34,12,15,5
"1301032",6,3,3,3,16,4,19,5,20,14,19,14
"1981173",11,9,8,0,11,20,4,21,7,3,11,1
"2020312",10,8,7,2,30,23,7,30,62,2,23,2
"2603277",8,24,23,3,10,3,18,44,27,2,19,24
"2020313",0,0,3,9,0,0,4,3,11,1,0,0
"2048897",20,9,9,6,7,19,7,10,16,1,7,4
"2020311",21,11,38,3,10,36,0,2,9,1,14,0
"1571470",18,19,8,3,16,15,7,8,6,1,3,2
"1125847",11,2,16,5,7,12,15,36,9,2,10,0
"384",341,208,191,22,176,195,70,138,302,34,119,105
"451876",47,22,26,9,19,16,48,17,15,8,12,13
"1312183",40,29,7,1,8,9,5,14,29,5,14,10
"398",17,21,28,2,21,11,6,6,33,6,14,0
"348824",66,74,13,8,16,20,25,38,33,5,35,6
"396",62,36,54,12,21,10,43,42,72,5,22,20
"29449",117,44,18,13,47,60,46,18,81,2,27,17
"240521",26,3,3,1,7,17,5,9,26,2,7,2
"293958",38,6,7,1,11,7,12,15,20,1,20,6
"379684",26,23,7,3,11,12,78,19,16,1,7,7
"2267833",28,6,26,7,24,27,42,73,86,2,33,3
"1120045",47,17,14,1,5,20,19,10,25,1,8,8
"358",264,132,192,48,126,100,159,169,332,26,156,72
"1176649",14,29,1,3,10,34,1,33,1,16,16,13
"2580515",8,3,1,0,2,14,0,6,13,5,4,7
"2579248",8,3,0,0,2,11,25,6,0,3,8,0
"373",67,53,26,17,46,39,38,46,94,8,26,38
"160699",58,28,23,2,5,19,13,15,31,3,19,17
"359",47,20,48,3,20,25,25,32,31,7,19,10
"2060726",5,8,4,2,18,5,17,44,36,6,7,12
"1825976",50,10,16,4,28,19,38,20,13,6,10,7
"399",83,24,42,2,103,18,19,26,71,6,17,16
"1752398",35,35,33,8,17,19,56,32,31,20,10,18
"375549",57,15,29,4,18,12,16,26,41,2,28,7
"106592",76,19,44,7,24,26,13,31,53,1,65,24
"382",80,40,31,5,48,32,45,66,53,9,31,11
"1842534",32,6,43,60,13,16,5,8,30,3,6,15
"380",190,38,89,10,65,39,55,81,231,3,41,29
"110321",26,20,69,6,15,71,24,29,49,2,9,15
"194963",13,27,10,2,24,11,5,18,30,1,0,1
"1273132",4,1,13,1,10,26,9,24,13,7,9,11
"309868",0,4,4,1,3,2,7,2,3,4,9,5
"34021",10,8,5,5,1,6,16,4,13,11,5,0
"34020",3,5,8,0,0,9,8,5,13,1,1,1
"1969821",45,12,24,3,12,14,10,13,19,14,5,18
"2341112",23,7,11,2,19,18,6,14,26,2,10,2
"1223566",30,12,10,4,2,11,54,15,15,12,5,17
"1325120",29,18,3,2,12,17,58,30,12,8,21,15
"1197460",6,14,7,6,14,4,5,5,18,4,10,10
"1325102",29,16,18,1,31,20,3,15,22,3,2,3
"319017",30,5,21,0,11,14,7,2,14,3,20,3
"115808",35,5,16,3,24,1,30,32,18,2,7,9
"2599819",12,0,24,22,52,18,53,18,19,16,0,9
"288000",42,14,29,2,11,4,10,63,36,1,3,8
"858422",28,7,46,2,55,6,9,2,8,1,6,1
"1325100",30,10,19,4,20,18,5,4,15,1,2,2
"376",23,55,15,2,17,16,4,41,41,1,10,4
"2057741",14,9,20,1,8,6,0,9,11,1,2,6
"1404864",23,14,34,8,4,28,11,25,16,16,23,6
"44255",21,17,19,6,8,20,11,16,40,5,4,5
"1325115",25,38,12,7,12,4,1,5,15,6,12,13
"1404768",36,8,7,0,3,3,0,9,11,3,7,2
"1355477",24,11,5,8,6,24,7,10,48,6,6,1
"722472",58,40,58,7,14,21,16,52,94,5,16,8
"1437360",113,55,75,7,33,58,21,32,91,2,29,27
"83637",49,20,5,4,15,13,10,17,11,1,3,10
"244734",3,15,7,14,2,1,2,6,33,1,0,5
"1325107",33,4,14,2,5,5,1,7,16,1,12,16
"1404367",54,8,37,1,4,8,6,24,16,1,7,8
"1549949",55,5,7,1,6,4,5,21,36,1,15,0
"1274631",30,10,6,1,6,1,2,4,8,1,4,5
"1867715",54,8,29,2,19,16,6,15,40,6,19,7
"1792307",8,9,16,5,18,7,3,2,59,5,8,0
"2599640",168,25,31,53,38,10,6,19,43,1,40,2
"2020412",33,20,7,4,11,13,8,14,23,1,12,24
"1076",221,110,76,21,90,53,52,92,226,13,63,24
"1882747",41,25,11,1,9,21,13,19,83,12,14,7
"943830",48,5,9,4,5,25,12,10,16,4,16,6
"913",9,23,14,2,3,5,9,11,10,1,6,18
"912",9,8,8,0,17,6,0,3,46,1,3,6
"40137",17,15,4,2,33,6,3,24,13,1,11,4
"2493672",49,31,10,4,9,7,12,23,17,18,1,7
"2483402",34,3,74,0,0,0,2,15,25,33,0,0
"675281",42,20,25,4,76,25,21,6,17,5,6,7
"2483404",60,5,5,2,4,10,2,6,32,3,5,2
"2493669",30,19,12,0,11,37,6,19,24,3,17,7
"2493678",22,12,5,16,6,9,11,6,6,3,0,2
"2654249",4,13,24,1,4,10,12,4,37,3,10,0
"2493677",19,11,3,3,10,2,1,11,13,2,3,0
"2584466",70,30,26,2,19,7,8,15,28,1,8,15
"2493674",24,2,6,6,9,0,4,0,3,1,0,5
"2493673",45,10,4,9,48,4,3,8,18,1,15,3
"2493670",41,8,8,0,6,12,22,15,26,1,0,0
"2108445",24,21,6,4,7,9,3,16,23,1,14,5
"593909",50,17,7,1,3,6,6,4,23,5,0,7
"1670800",60,15,24,7,20,17,65,2,15,3,6,7
"2066070",17,4,7,3,15,0,20,14,36,1,2,3
"71433",26,19,4,2,28,10,1,16,37,1,7,3
"39645",53,30,30,10,27,18,18,93,85,2,50,3
"28104",14,15,13,2,13,27,14,14,31,1,6,12
"381",146,146,64,20,45,79,72,77,147,1,34,56
"1620421",22,16,19,1,9,7,35,5,24,6,6,13
"244596",28,12,5,2,13,1,14,17,19,3,5,11
"1867719",16,36,36,3,14,21,13,21,34,4,9,3
"2718938",21,10,25,7,3,19,6,37,41,2,11,5
"83263",4,0,9,2,8,2,2,15,16,3,0,1
"374606",24,22,23,1,1,5,1,58,48,1,6,1
"1756988",52,22,26,3,8,11,15,19,35,4,16,7
"2712698",26,10,14,2,13,19,4,4,43,3,8,12
"2305987",8,10,5,1,11,15,8,9,3,3,15,5
"1852022",30,25,26,4,7,9,3,21,20,2,29,6
"266779",35,18,15,5,14,7,14,33,15,1,9,3
"2742145",53,9,19,3,6,21,7,23,18,1,10,6
"2603276",40,36,3,30,11,17,4,21,32,17,26,22
"2202826",33,19,18,8,11,6,3,4,7,6,5,7
"426117",26,21,19,6,10,3,8,11,25,2,1,13
"2067957",45,13,0,0,10,2,9,6,46,1,11,10
"1479019",11,18,0,0,0,57,7,24,0,6,35,0
"270351",66,18,7,4,13,6,3,2,36,2,12,7
"39956",41,8,19,6,20,9,10,17,17,2,23,9
"2202827",45,9,13,0,21,2,3,4,36,1,14,2
"2202825",153,7,13,3,7,10,4,12,18,1,10,2
"269660",12,7,8,2,20,7,20,9,37,1,4,3
"31998",33,3,0,3,6,0,5,0,12,4,0,0
"223967",121,52,22,14,24,15,4,10,31,4,17,14
"408",113,69,47,13,33,30,7,39,72,6,28,13
"2651334",41,15,26,7,16,4,5,19,21,4,8,7
"1882682",36,27,13,7,19,37,9,21,39,3,20,9
"2304600",65,35,19,2,14,18,6,11,65,41,7,4
"1798205",46,24,13,5,13,25,14,49,32,16,6,14
"2709380",51,9,9,5,12,6,3,12,28,1,6,7
"921",764,124,259,114,163,556,711,152,893,24,140,54
"7",43,35,28,6,16,4,16,15,23,6,17,9
"2562284",46,35,25,4,11,31,5,20,23,4,20,7
"331696",22,24,17,2,18,14,12,14,31,1,12,4
"2789216",36,39,25,4,38,18,15,19,40,3,7,3
"1850374",38,12,9,6,18,9,3,11,24,1,10,4
"2759660",5,16,28,146,3,19,81,35,16,10,34,13
"1686310",51,30,23,16,27,34,52,20,74,4,39,33
"803",12,8,0,2,1,2,25,4,3,4,31,0
"1318743",1,3,4,1,4,6,18,4,1,3,0,0
"165694",1,18,25,1,5,16,26,1,0,4,8,24
"2267275",2,12,3,5,9,0,23,5,7,3,3,3
"56426",13,1,4,0,2,2,6,1,8,2,3,1
"38323",0,5,0,0,0,4,21,3,18,2,8,0
"33045",3,1,1,2,11,9,66,3,17,2,4,7
"388640",5,4,10,1,5,2,9,25,4,1,2,3
"111504",8,1,5,0,5,3,3,2,8,1,0,0
"33047",8,5,3,0,5,6,10,9,1,1,1,1
"529",104,34,41,0,14,70,33,83,39,22,38,45
"571256",4,7,9,0,57,25,48,36,27,4,5,5
"1218315",8,0,5,3,0,0,0,1,0,1,0,7
"94625",10,15,17,1,10,13,7,8,19,1,4,6
"235",0,0,162,0,0,0,0,8,76,5,0,0
"2083786",29,14,27,6,17,17,12,5,27,7,0,4
"1736675",43,1,14,4,16,10,4,7,36,3,9,9
"2664417",46,16,28,7,47,1,0,10,29,1,16,18
"454601",21,4,21,3,13,12,23,28,62,9,6,0
"717785",11,32,5,2,3,1,6,8,29,3,14,11
"53399",31,13,16,4,17,30,15,15,57,3,18,2
"674703",42,12,26,6,11,17,7,4,46,3,6,3
"531813",48,7,12,3,8,5,6,19,45,2,6,7
"1608628",5,3,14,4,4,13,20,6,17,2,2,0
"533",26,19,12,20,7,9,9,15,48,16,4,1
"227605",9,10,8,4,7,17,2,11,52,6,2,2
"199596",55,6,30,2,12,15,10,10,57,1,12,6
"569860",26,6,7,1,23,4,0,48,37,2,2,2
"686597",87,82,49,18,53,62,11,35,73,9,43,21
"370622",57,53,14,2,22,16,7,35,39,7,6,7
"2758041",36,8,10,5,5,5,2,13,29,1,6,1
"1349819",40,17,14,2,39,13,3,20,53,1,17,6
"173366",72,15,6,5,16,25,22,68,38,5,6,9
"187303",10,2,4,2,22,8,4,6,10,3,8,1
"391905",25,31,5,2,14,26,34,25,35,1,16,6
"134",35,8,18,3,12,2,9,2,45,1,6,9
"426",25,4,5,3,4,15,12,7,30,1,6,3
"2560057",27,31,21,5,43,50,69,39,106,1,20,19
"2712222",31,19,16,2,18,16,9,29,47,4,10,6
"1235591",20,14,20,6,7,22,2,11,83,1,4,9
"2170729",42,3,13,7,15,7,4,4,27,1,3,2
"573658",7,7,1,3,3,7,2,6,4,1,7,0
"256618",51,18,14,18,7,24,10,24,36,2,42,1
"1712261",16,9,12,1,20,20,4,9,16,1,5,6
"2528642",23,28,5,4,5,7,72,28,27,1,5,5
"1945662",17,16,6,1,11,22,6,12,32,33,4,1
"2500532",10,17,6,2,16,4,1,14,21,8,9,10
"2259340",21,9,18,3,23,12,8,7,24,6,14,5
"1529068",23,5,17,4,12,11,15,6,17,2,8,7
"2589076",19,12,6,3,20,22,9,10,27,1,6,5
"34004",26,12,9,2,9,22,29,17,9,16,2,9
"266",42,23,5,2,27,7,4,24,17,9,9,10
"1077935",20,16,31,10,42,14,5,21,71,5,13,3
"1545044",15,9,9,4,6,7,13,18,12,2,12,7
"82367",43,25,12,5,13,1,3,26,51,2,7,2
"34003",20,32,19,2,17,10,12,18,40,1,10,15
"60890",31,48,24,15,28,28,23,46,82,15,16,15
"1580596",24,19,12,1,26,12,4,18,19,9,20,7
"221822",47,28,52,5,18,45,47,37,60,3,21,8
"1844006",4,7,5,11,2,4,1,9,10,2,0,1
"2587855",45,15,11,6,48,54,15,22,81,9,8,8
"1389005",6,1,2,2,4,7,3,14,12,6,3,2
"2070369",36,23,10,2,7,9,4,29,25,2,17,7
"664426",12,33,11,0,3,15,25,1,22,2,7,27
"1968541",22,18,9,1,3,11,10,14,26,1,8,12
"1402135",49,20,25,4,31,39,14,24,65,3,22,5
"2587861",36,32,18,4,9,22,6,44,43,7,31,5
"1674922",43,13,2,0,18,12,14,6,13,7,0,0
"2590016",9,14,12,3,16,53,4,16,31,4,8,13
"2021862",32,12,14,5,11,11,18,19,54,1,11,10
"388408",54,20,13,3,10,15,91,12,33,1,4,8
"187304",15,26,11,0,0,9,3,5,6,1,15,21
"121719",271,115,116,16,61,28,43,55,184,19,64,121
"540747",45,20,11,35,28,25,17,37,59,10,13,8
"2587847",46,9,8,9,11,12,5,4,26,2,7,0
"2587850",17,6,9,0,13,3,0,7,24,1,0,8
"2587846",4,9,2,0,2,0,0,6,4,1,5,1
"2494550",15,15,18,1,7,6,3,13,13,1,19,4
"1063",111,74,62,17,106,42,17,39,77,10,52,38
"1075",11,12,40,2,11,9,20,12,28,3,30,32
"2033869",27,4,11,4,13,14,0,7,26,1,13,5
"1061",37,43,22,13,37,24,9,37,37,1,10,6
"1250539",55,36,36,8,14,21,17,30,25,15,6,17
"1396826",33,18,31,13,64,47,12,20,37,9,9,11
"2508306",49,22,7,0,9,8,12,12,33,2,11,0
"2508307",7,9,23,0,9,8,13,4,7,1,22,25
"875171",18,17,19,2,42,33,4,3,43,7,1,6
"1758178",46,6,6,7,12,14,2,19,38,2,10,13
"1208324",38,36,36,5,11,19,6,33,44,1,22,15
"2587853",14,16,9,2,2,2,7,28,10,8,18,5
"2293862",10,10,7,6,24,15,3,1,9,1,1,5
"292414",11,4,6,7,12,6,1,16,5,1,1,4
"2587852",40,14,26,0,11,0,13,18,54,10,11,0
"1217908",9,5,7,0,25,21,6,24,39,4,15,2
"1458307",5,6,1,2,5,9,5,3,18,3,2,3
"2602067",41,12,8,4,6,4,6,12,10,1,12,15
"53946",9,2,0,1,6,4,5,3,14,1,5,2
"911045",27,31,16,4,9,12,23,27,33,9,40,16
"1891787",15,7,9,4,9,5,22,24,40,6,7,6
"42443",9,12,5,1,4,10,4,6,9,3,2,9
"2715211",20,155,4,24,36,32,11,24,29,8,4,3
"1792508",26,14,21,2,13,6,11,5,19,5,3,5
"311180",82,37,4,8,10,20,4,16,34,2,12,17
"2789856",49,7,8,8,14,13,0,7,36,7,7,3
"195105",39,58,18,0,18,7,1,15,54,7,8,1
"379347",16,25,51,15,37,19,11,28,59,7,22,6
"2017482",10,8,13,6,11,8,25,8,7,6,6,5
"2579971",85,37,12,15,71,29,26,54,35,5,28,10
"1591409",36,5,14,2,3,28,20,11,34,3,18,7
"441209",22,16,21,5,10,38,6,25,33,3,9,8
"299262",15,19,4,2,8,1,2,5,13,3,5,9
"1267768",26,22,29,6,17,7,4,21,57,2,11,11
"561184",41,11,25,23,27,32,4,14,25,2,12,10
"92947",10,11,13,2,8,6,0,10,8,2,6,3
"35806",62,3,15,8,29,7,8,21,37,2,25,2
"2587163",26,27,13,2,14,34,4,30,34,2,19,6
"564137",43,23,10,6,15,13,5,4,11,2,3,15
"290400",38,17,11,5,22,5,13,12,21,2,47,5
"1335048",50,16,24,7,11,14,7,44,45,1,13,13
"42444",28,10,21,2,18,20,4,21,40,1,1,7
"245188",27,26,21,2,11,14,5,19,41,1,20,4
"1920883",23,2,7,1,3,2,0,1,33,1,5,9
"159346",7,24,4,0,6,14,5,14,14,1,7,5
"2500533",30,11,1,2,8,7,3,10,28,1,19,2
"2587842",32,7,3,3,33,5,19,4,28,1,8,2
"2599296",47,3,5,5,7,5,6,6,15,1,1,3
"2483033",23,13,12,1,7,8,1,15,14,1,5,5
"74033",31,25,15,4,9,19,11,37,12,1,5,14
"1579316",11,15,12,3,3,54,13,14,14,1,2,0
"2552942",19,14,6,5,5,5,16,10,16,1,3,4
"1873716",26,30,40,6,8,36,14,19,52,7,19,15
"1906738",27,5,17,0,10,11,5,13,33,1,9,4
"81032",18,15,7,5,14,9,7,11,16,1,8,5
"2724",30,23,9,2,18,37,15,26,36,10,13,2
"2749086",26,22,32,53,40,32,70,33,19,4,8,6
"1913578",11,4,1,1,6,23,2,7,7,3,1,4
"1357916",11,7,12,3,6,5,4,1,29,4,2,1
"2565556",24,0,6,1,7,13,11,1,45,3,16,3
"1914525",38,14,11,4,4,0,4,6,16,3,2,8
"2486273",11,9,8,6,13,1,3,3,29,1,3,7
"1866325",12,0,0,0,0,2,0,12,0,39,0,0
"292913",6,4,20,0,6,5,10,12,35,1,27,4
"1515612",23,4,6,38,35,22,15,4,22,5,27,2
"33050",40,17,7,4,9,35,15,24,22,5,8,9
"2681549",27,20,14,5,6,7,47,17,21,7,2,4
"2319844",13,6,8,6,9,6,19,12,30,4,4,11
"2599297",21,9,5,5,11,4,6,3,26,2,0,9
"2653203",7,18,5,1,1,9,4,3,29,2,2,2
"1938607",17,32,5,2,7,5,2,13,18,2,9,6
"2492837",37,7,11,9,6,5,2,19,32,2,1,0
"2596913",48,5,8,2,4,14,5,9,24,1,2,9
"1390395",46,3,18,3,11,7,5,14,33,1,17,2
"2219696",34,0,18,1,8,3,0,4,11,1,2,1
"2714943",13,9,9,0,4,12,2,59,13,1,2,4
"2735134",45,2,11,4,11,7,6,4,10,1,7,4
"304378",25,18,44,2,17,6,7,14,28,1,20,4
"363835",14,4,62,1,20,37,5,18,11,20,17,5
"397260",61,24,6,5,16,5,9,26,61,9,4,1
"1609977",9,21,9,1,14,4,5,6,14,2,4,0
"160791",19,0,7,1,6,5,7,0,29,1,1,10
"653931",34,11,14,5,24,21,6,20,41,1,25,17
"1560345",19,17,9,0,11,0,30,5,19,1,4,0
"93064",42,0,8,0,13,11,0,11,14,1,19,9
"2676077",25,22,6,15,12,2,1,1,21,9,6,7
"2082188",20,13,21,3,7,24,22,30,40,5,16,1
"2733867",31,11,27,15,27,4,0,3,5,2,9,2
"2789327",10,5,5,4,6,7,2,12,30,1,5,4
"1843368",14,19,28,4,16,8,3,11,16,1,11,3
"627192",29,12,19,4,16,1,3,8,29,1,7,2
"407020",95,23,4,1,18,0,105,5,36,1,7,9
"1673076",60,3,34,9,21,12,8,6,35,1,16,4
"1332080",56,13,42,7,5,4,3,32,43,2,14,17
"336203",10,0,23,0,10,0,6,107,16,7,7,0
"332055",0,4,2,0,4,1,0,3,18,3,9,0
"135719",15,15,17,0,14,3,7,3,25,2,16,19
"542",69,40,32,11,43,33,58,28,32,13,110,12
"2675225",24,4,6,1,2,0,2,5,15,2,5,2
"2780074",35,3,8,4,4,10,4,8,15,1,4,3
"1609758",16,8,23,16,4,5,5,17,24,1,7,3
"48935",76,29,35,5,19,40,12,15,66,2,0,6
"1892855",29,17,10,2,9,6,4,4,48,2,24,3
"335406",35,10,4,0,9,24,1,5,46,2,21,14
"2759707",31,8,18,4,6,15,15,6,27,3,6,8
"1921510",22,9,20,1,6,24,4,14,55,1,10,6
"2762729",21,12,16,1,8,3,3,2,52,1,1,0
"392610",38,21,13,2,1,17,34,24,45,1,6,8
"2185142",13,4,39,0,13,17,44,4,4,31,3,5
"476157",11,43,5,2,3,13,13,30,20,1,9,9
"361183",26,6,1,4,5,11,2,1,20,1,11,0
"39960",53,11,14,0,14,30,16,20,62,10,19,2
"1648404",14,3,4,0,10,6,0,7,8,5,2,4
"2182384",16,1,7,0,9,9,3,4,10,2,3,1
"2547601",27,6,12,6,24,25,52,8,22,10,10,7
"2023229",12,6,7,3,16,1,1,0,8,3,2,1
"450378",27,14,9,9,17,17,3,23,44,1,14,14
"1532023",13,7,4,7,9,14,10,1,20,1,1,0
"1076596",8,9,12,2,28,27,29,33,48,8,7,5
"435",47,24,34,3,23,39,28,33,94,7,10,7
"481146",14,0,6,5,4,17,2,8,30,9,10,7
"2592655",20,12,8,2,6,1,1,10,15,2,4,0
"431306",30,13,11,1,7,16,6,9,27,1,3,4
"104102",8,32,13,2,2,42,1,29,57,4,11,13
"65958",32,39,40,2,17,22,5,28,41,11,10,9
"436",16,12,17,5,27,30,11,13,25,8,6,3
"265959",43,33,14,5,4,8,5,10,27,2,10,8
"28448",84,36,41,16,43,23,11,32,116,2,80,13
"215221",14,0,0,0,0,8,7,19,0,2,7,4
"2558360",9,11,7,0,18,18,5,7,11,18,1,3
"364410",51,54,90,3,16,40,17,59,87,9,35,25
"2697033",6,9,8,4,13,23,28,8,22,5,10,6
"2478912",0,3,0,3,0,8,0,13,45,4,10,6
"94",52,13,41,4,45,16,11,20,75,4,14,23
"442",58,30,14,5,21,33,20,36,61,4,20,30
"1510841",19,8,26,1,4,0,14,6,5,3,14,7
"257708",85,11,14,3,36,6,7,16,21,2,9,2
"33996",40,12,11,9,14,9,7,9,35,2,4,5
"661191",29,21,13,0,16,18,44,7,18,1,16,19
"153496",9,23,19,1,48,12,16,12,42,1,12,1
"320497",31,6,5,2,6,3,8,2,25,1,5,18
"2771361",76,36,19,3,12,5,5,26,47,1,4,10
"192",158,67,72,31,82,16,14,46,177,8,22,26
"2202148",79,47,28,6,23,37,11,17,43,4,33,16
"682998",43,28,14,3,21,26,10,42,23,4,10,8
"193",116,52,36,11,54,27,2,39,99,4,26,4
"1064539",53,25,32,4,9,49,10,19,9,5,6,2
"528244",48,51,15,10,30,25,10,32,38,2,3,9
"286727",31,16,10,17,30,22,10,8,25,2,10,6
"664962",29,29,8,1,4,21,0,13,26,1,33,7
"2602016",40,24,10,4,25,16,45,15,37,6,20,5
"2602015",34,6,21,7,25,24,4,19,37,5,13,7
"2048283",20,32,21,8,12,31,61,12,112,7,14,5
"1891279",34,2,36,9,12,12,29,74,46,3,10,10
"1263979",11,13,7,1,6,9,20,11,12,5,12,10
"2220096",31,25,27,16,62,45,34,15,117,4,15,11
"55518",173,73,57,15,65,48,34,109,268,4,13,22
"28077",68,41,51,15,33,25,7,22,81,3,18,15
"171437",69,40,41,7,33,21,29,31,85,2,29,19
"2594003",73,37,16,7,14,11,7,11,84,2,13,3
"1288970",14,20,9,4,11,17,13,8,37,2,3,6
"1084",24,11,11,2,19,16,6,10,55,1,16,5
"1085",83,31,10,5,24,22,18,12,53,1,5,14
"588932",21,31,45,14,27,19,5,13,14,18,18,3
"2591463",61,7,8,1,10,3,9,4,39,3,9,9
"2579977",32,3,8,0,14,2,2,6,26,4,10,0
"2561924",31,5,21,6,6,8,1,15,22,1,17,6
"1827469",0,3,36,0,16,14,0,3,15,3,0,0
"293",45,29,7,2,22,20,1,14,36,4,4,3
"88688",112,12,32,2,62,25,6,13,50,14,37,12
"155892",58,21,23,10,29,23,7,23,43,8,10,12
"2010972",24,32,60,8,93,57,39,37,31,4,3,15
"69665",31,16,9,1,23,13,3,20,25,3,13,4
"1679497",43,26,43,12,52,42,35,34,40,2,52,23
"69395",17,9,12,4,9,4,5,21,18,1,8,4
"2686094",30,2,12,5,15,17,6,10,29,6,4,9
"78587",72,13,33,7,8,38,22,32,83,4,24,15
"2201350",20,22,12,8,21,8,3,10,19,1,5,3
"284016",59,41,15,5,31,22,4,31,22,1,9,8
"2732593",1,6,3,3,0,3,1,2,2,5,6,2
"125593",1,2,1,0,0,2,2,0,0,3,0,0
"116598",0,0,0,0,15,0,0,2,0,4,15,0
"100901",0,7,33,2,10,2,8,13,0,3,0,7
"1845000",0,2,2,0,0,2,3,0,9,1,2,0
"779",5,6,12,29,12,12,21,1,7,4,7,18
"945",2,3,3,1,4,1,1,1,1,3,4,0
"944",2,2,5,1,1,6,2,4,2,2,3,2
"2686014",6,0,5,1,0,9,1,4,5,1,0,0
"769",1,12,6,1,0,1,3,2,10,1,1,7
"42862",5,0,1,1,0,2,4,0,19,1,0,0
"35791",2,0,0,0,5,0,0,0,0,3,8,0
"35790",0,7,0,0,6,0,0,0,1,4,0,0
"782",4,4,3,2,4,0,17,11,2,1,0,0
"788",0,2,2,0,1,8,2,3,7,1,0,0
"2601646",4,5,3,0,2,24,13,10,15,8,12,1
"784",1,21,3,6,2,2,8,6,4,5,13,18
"234827",3,14,3,2,0,1,3,5,3,4,3,1
"1977865",3,4,10,1,3,9,10,6,0,7,4,1
"1002672",4,6,7,1,3,8,24,7,3,4,3,8
"2268451",13,7,0,1,3,9,11,4,5,3,3,6
"1977864",1,25,5,12,2,1,7,47,1,1,4,8
"2563896",1,1,2,1,14,4,17,2,4,3,2,4
"198252",1,4,1,3,0,3,4,2,6,1,2,1
"1925548",2,2,2,1,2,4,22,17,3,4,0,5
"767892",13,21,38,4,17,14,5,24,20,6,13,11
"349221",40,16,9,5,14,36,12,10,108,4,18,15
"1868589",56,38,8,8,74,3,8,21,82,2,28,13
"2601575",2,0,0,2,1,2,1,7,1,7,4,0
"1509244",1,2,3,2,1,1,15,5,1,1,3,2
