"","G45068","G45227","G45123","G45117","G45099","G45071","G45226","G45250","G45108","G45057","G45075","G45092"
"1010",49,15,37,9,17,23,10,6,30,1,89,10
"995",13,50,41,35,30,40,97,53,26,30,65,5
"151895",23,53,37,22,14,17,108,44,43,24,72,10
"496056",50,12,16,46,28,14,20,21,23,4,130,19
"2764720",32,44,26,26,12,20,28,13,27,1,55,14
"2604421",76,37,73,50,82,64,80,41,69,30,90,41
"2033437",44,43,53,20,37,44,74,22,41,21,82,36
"2703787",42,50,21,27,32,51,125,31,70,13,118,33
"2725416",19,0,10,0,15,56,11,8,0,23,31,29
"79329",119,65,62,73,62,45,104,52,86,8,227,28
"2029983",33,15,9,0,6,12,46,7,51,1,57,8
"354356",34,27,36,61,40,40,55,25,45,28,130,67
"1813871",46,25,15,5,18,24,61,52,27,24,61,11
"661488",71,41,44,3,22,29,63,30,39,22,80,15
"2545455",17,19,7,5,5,11,14,28,14,7,41,6
"1850526",44,13,14,3,14,46,28,18,67,4,12,14
"2341117",37,7,2,43,39,15,1,33,47,6,70,4
"2676868",37,12,30,4,34,25,17,10,22,14,57,7
"661481",25,12,11,49,16,17,16,12,34,7,75,56
"1492898",25,22,9,2,11,11,31,22,37,4,21,42
"2502779",23,22,27,4,15,13,7,33,40,2,51,19
"2315862",33,13,9,22,18,26,47,26,51,11,93,58
"1176587",22,20,17,84,31,19,16,47,25,4,67,19
"446683",16,24,69,8,7,20,31,69,64,1,79,0
"2760713",40,22,17,12,18,26,43,35,36,5,41,7
"477680",44,30,26,12,21,22,60,59,52,3,116,13
"2350",29,17,26,38,11,10,63,43,54,2,98,28
"29549",118,55,23,18,35,10,21,40,84,1,50,30
"1868325",37,36,19,2,8,6,9,54,45,12,31,15
"281093",17,31,22,1,37,13,41,30,27,11,10,5
"1102",41,18,6,3,10,2,17,17,9,1,8,3
"34090",14,17,19,1,13,10,65,30,25,6,12,7
"1100",71,49,23,2,15,14,18,29,40,2,21,15
"1092",59,39,24,17,17,26,31,53,44,4,37,8
"1096",50,53,32,36,27,49,57,32,45,1,35,35
"1094",24,47,29,2,9,10,38,35,25,1,29,33
"100716",34,27,20,26,22,17,32,17,23,10,13,8
"274537",31,27,26,3,9,34,10,72,48,5,35,12
"1134405",29,18,52,18,33,26,60,115,46,10,68,24
"591197",25,54,13,1,23,15,174,35,36,4,24,10
"1457365",34,11,14,19,13,19,14,20,30,1,32,8
"456827",15,42,23,15,26,15,95,31,24,21,43,4
"833",115,68,45,23,38,70,83,90,55,14,34,32
"2732249",25,8,15,4,5,12,18,14,34,2,11,6
"861299",108,35,40,24,21,17,33,24,70,1,17,28
"853",373678,1002977,1200022,437711,1499758,1155153,445092,816280,305406,488307,684003,313121
"292800",28230,148745,66203,60040,206406,17598,75614,70704,40720,57008,11792,65924
"1550024",22946,22253,31356,9306,36458,15140,11411,12944,14108,6804,8029,11743
"1160721",3104,279356,3974,194,2064,12551,45399,40926,211191,241,1159,22363
"2564099",4320,719,647,138,2985,2132,9482,3629,922,116,1665,1057
"1264",749,658,3180,127,594,1006,1906,2017,1032,107,477,468
"1161942",2169,946,2147,211,1503,1130,1760,3334,3908,85,526,718
"1796620",1987,2603,2544,974,4585,1518,1700,1772,1272,303,719,1115
"2721621",1157,832,932,197,864,513,1013,826,500,97,314,470
"2507162",946,594,679,128,716,548,676,519,493,61,274,271
"253239",945,417,810,148,841,402,534,702,499,71,293,187
"33038",13950,99104,90900,75972,73322,46412,94991,34258,13264,99104,43055,14963
"208479",13981,18303,43069,31743,157957,91095,45869,48726,13415,48190,10745,23217
"1531",9429,20268,38725,14422,51889,58058,112741,18896,7970,13522,21362,18073
"2479767",54976,215755,38078,13152,37062,40606,141441,206700,57635,31762,16802,31459
"2779518",1538,3907,1961,459,2621,3193,7890,4426,1285,815,1227,1903
"1796616",0,11166,5166,1805,5708,6853,19503,11942,3074,3763,3751,3598
"1912897",4271,13570,7449,3545,18954,6438,19684,14842,3591,12316,5350,4354
"33035",10268,24165,10372,6970,10260,11699,28295,16264,3984,5722,3925,4695
"1322",5055,12499,6985,1655,9784,7043,22609,8323,4141,5988,3089,6006
"1229621",1292,2615,2008,943,3506,1478,2964,3085,1306,31324,1284,1769
"649756",39538,316102,185305,38315,107873,134339,230768,167911,69224,4184,145995,40853
"105841",732,3506,1209,1661,3911,2963,9513,2490,583,538,1665,2537
"1834196",4867,11204,9293,4269,27196,23606,24317,11815,3606,16673,4030,7371
"29347",6930,16438,9416,2880,7990,14433,29134,18022,4303,4632,3853,10536
"1871021",6359,9436,7440,4584,6455,6734,10409,11626,2472,2216,4269,4626
"89153",1206,5134,2099,599,1289,1739,4638,2877,1029,832,1130,1091
"66219",583,1576,1133,348,614,871,3131,2133,755,525,698,839
"166486",41537,73509,584954,6296,14921,30567,150168,471850,44052,6992,47422,55962
"301301",21446,35978,74820,4645,13270,19845,97370,126288,31443,6947,53991,31301
"39488",37618,96291,20894,4717,28414,14894,80435,63616,15791,13353,21062,22199
"39485",80810,30917,33853,706,3867,9688,183821,65153,25124,3759,74837,45599
"84030",1143,2921,14426,3182,1898,2731,5683,5404,998,1385,1366,1436
"29370",836,3010,2135,941,1925,2433,5061,2478,804,1278,1252,1651
"2696063",524,1498,1328,362,718,1156,4453,1819,614,611,939,752
"2736602",574,1835,1367,330,629,1054,3326,2198,644,572,920,1067
"433286",547,1669,1114,278,815,1045,3878,1887,643,627,758,829
"831",1050,1869,2306,387,947,1279,4317,4959,1341,634,1315,1355
