ID	G45057	G45068	G45071	G45075	G45092	G45099	G45108	G45117	G45123	G45226	G45227	G45250
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0.02371	0	0	0.01342	0	0.00433	0.00766	0	0	0	0.02909
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055	0	0.02371	0	0	0.01342	0	0.00433	0.00766	0	0	0	0.02909
k__Bacteria|p__Bacteroidetes	72.2805	51.27934	40.18084	38.70895	68.80653	17.29685	45.36889	72.53095	29.49546	26.5218	17.59918	13.63448
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	72.2805	51.27934	40.18084	38.70895	68.80653	17.29685	45.36889	72.53095	29.49546	26.5218	17.59918	13.63448
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	72.2805	51.27934	40.18084	38.70895	68.80653	17.29685	45.36889	72.53095	29.49546	26.5218	17.59918	13.63448
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	62.52157	30.93225	38.49238	37.79593	59.05626	14.1452	26.68178	65.83543	24.82844	23.52699	17.00652	12.46709
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	62.52157	30.93225	38.49238	37.79593	59.05626	14.1452	26.68178	65.83543	24.82844	23.52699	17.00652	12.46709
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0	5.21685	2.48706	0	4.25633	0	0.21344	0	0	2.94291	3.80958	0.00416
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified	0	5.21685	2.48706	0	4.25633	0	0.21344	0	0	2.94291	3.80958	0.00416
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	4.00831	0	0	0	0	3.16219	3.41756	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified	4.00831	0	0	0	0	3.16219	3.41756	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0.88009	0	0
